divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-3400603,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,8,1.6264406198825544e-07,1.6264406198825544e-07,1.6264406198825544e-07,1.6264406198825544e-07,0.037628765570748235,0.037628765570748235,0.037628765570748235,0.037628765570748235,0.26914891600608826,2.0,6.86927969635713,0.6816703476366824,0.6816703476366824,0.6816703476366824,0.6816703476366824,3.538438081741333,0.11897246539592743,0.4265751596303541,0.4265751596303541,0.4265751596303541,0.4265751596303541,0.03994665216932511,0.03994665216932511,0.03994665216932511,0.03994665216932511,34.20284510325867
cat-3400546,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,5.324875002290143e-07,5.324875002290143e-07,5.324875002290143e-07,5.324875002290143e-07,0.05577671108086986,0.05577671108086986,0.05577671108086986,0.05577671108086986,0.26914891600608826,2.0,6.109427277293667,0.6397869058188171,0.6397869058188171,0.6397869058188171,0.6397869058188171,3.538438081741333,0.11897246539592744,0.4290350971012477,0.4290350971012477,0.4290350971012477,0.4290350971012477,0.04356385854682539,0.04356385854682539,0.04356385854682539,0.04356385854682539,36.876435005640275
cat-3400589,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,2.0434372969191034e-07,2.0434372969191034e-07,2.0434372969191034e-07,2.0434372969191034e-07,0.036651006463035686,0.036651006463035686,0.036651006463035686,0.036651006463035686,0.26914891600608826,2.0,5.64127582483422,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.538438081741333,0.11897246539592743,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,38.52365618264667
cat-3400571,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,2.465989585040821e-07,2.465989585040821e-07,2.465989585040821e-07,2.465989585040821e-07,0.017303876369502237,0.017303876369502237,0.017303876369502237,0.017303876369502237,0.26914891600608826,2.0,4.762934355361949,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.5384380817413326,0.11897246539592743,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,41.61415747567205
cat-3400623,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,1.8295437842089518e-07,1.8295437842089518e-07,1.8295437842089518e-07,1.8295437842089518e-07,0.04232768987434012,0.04232768987434012,0.04232768987434012,0.04232768987434012,0.26914891600608826,2.0,4.785345151534749,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.5384380817413335,0.11897246539592743,0.4313718974590301,0.4313718974590301,0.4313718974590301,0.4313718974590301,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,41.535303639257634
cat-3400572,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,1.62378671147841e-07,1.62378671147841e-07,1.62378671147841e-07,1.62378671147841e-07,0.011394129430355192,0.011394129430355192,0.011394129430355192,0.011394129430355192,0.2691489160060883,2.0,5.46960978041317,0.5991123611009843,0.5991123611009843,0.5991123611009843,0.5991123611009843,3.538438081741333,0.11897246539592743,0.43148130114484967,0.43148130114484967,0.43148130114484967,0.43148130114484967,0.047198834827064565,0.047198834827064565,0.047198834827064565,0.047198834827064565,39.12767426751583
cat-3400575,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,3.314259377491332e-07,3.314259377491332e-07,3.314259377491332e-07,3.314259377491332e-07,0.03309278228247914,0.03309278228247914,0.03309278228247914,0.03309278228247914,0.26914891600608826,2.0,5.189117113878005,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.538438081741333,0.11897246539592743,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,40.114605863870835
cat-3400576,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,7,3.4843005039950905e-07,3.4843005039950905e-07,3.4843005039950905e-07,3.4843005039950905e-07,0.021559531124221022,0.021559531124221022,0.021559531124221022,0.021559531124221022,0.26914891600608826,2.0,6.550076208535238,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.5384380817413326,0.11897246539592743,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.43137189745903015,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,35.32598322907718
cat-3400593,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,7,2.3455542143369947e-07,2.3455542143369947e-07,2.3455542143369947e-07,2.3455542143369947e-07,0.054265928055301955,0.054265928055301955,0.054265928055301955,0.054265928055301955,0.2691489160060882,2.0,5.974653362840243,0.6000000238418578,0.6000000238418578,0.6000000238418578,0.6000000238418578,3.5384380817413326,0.11897246539592743,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,37.350645744129785
cat-3400602,0.005,148.389556885,1.0,2.0909171104431152,2.0909171104431152,2.0909171104431152,2.0909171104431152,2,8,3.7623453323760217e-07,3.7623453323760217e-07,3.7623453323760217e-07,3.7623453323760217e-07,0.08704431553019086,0.08704431553019086,0.08704431553019086,0.08704431553019086,0.26914891600608826,2.0,6.643102892774749,0.7772651189007576,0.7772651189007576,0.7772651189007576,0.7772651189007576,3.5384380817413326,0.11897246539592743,0.42096059813188386,0.42096059813188386,0.42096059813188386,0.42096059813188386,0.03169074001731573,0.03169074001731573,0.03169074001731573,0.03169074001731573,34.998662821330974
