,time,preci,pet
2016-01-04 19:00:00,2016-01-04 19:00:00,0.0,8.849333333333336e-05
2016-01-04 20:00:00,2016-01-04 20:00:00,0.0,8.849333333333336e-05
2016-01-04 21:00:00,2016-01-04 21:00:00,0.0,8.849333333333336e-05
2016-01-04 22:00:00,2016-01-04 22:00:00,3.637333333333333e-05,8.730666666666666e-05
2016-01-04 23:00:00,2016-01-04 23:00:00,0.0,8.730666666666666e-05
2016-01-05 00:00:00,2016-01-05 00:00:00,0.0,8.730666666666666e-05
2016-01-05 01:00:00,2016-01-05 01:00:00,0.0,2.9853333333333338e-05
2016-01-05 02:00:00,2016-01-05 02:00:00,0.0,2.9853333333333338e-05
2016-01-05 03:00:00,2016-01-05 03:00:00,2e-06,2.9853333333333338e-05
2016-01-05 04:00:00,2016-01-05 04:00:00,0.0,1.9960000000000002e-05
2016-01-05 05:00:00,2016-01-05 05:00:00,0.0,1.9960000000000002e-05
2016-01-05 06:00:00,2016-01-05 06:00:00,7.5600000000000005e-06,1.9960000000000002e-05
2016-01-05 07:00:00,2016-01-05 07:00:00,0.0004944,7.26e-06
2016-01-05 08:00:00,2016-01-05 08:00:00,0.0012078133333333339,7.26e-06
2016-01-05 09:00:00,2016-01-05 09:00:00,0.002232746666666667,7.26e-06
2016-01-05 10:00:00,2016-01-05 10:00:00,0.0032533333333333333,2.250666666666667e-05
2016-01-05 11:00:00,2016-01-05 11:00:00,0.0006297333333333333,2.250666666666667e-05
2016-01-05 12:00:00,2016-01-05 12:00:00,0.00110764,2.250666666666667e-05
2016-01-05 13:00:00,2016-01-05 13:00:00,0.0040576399999999995,4.622666666666666e-05
2016-01-05 14:00:00,2016-01-05 14:00:00,0.005856053333333334,4.622666666666666e-05
2016-01-05 15:00:00,2016-01-05 15:00:00,0.0022435733333333327,4.622666666666666e-05
2016-01-05 16:00:00,2016-01-05 16:00:00,0.0008547333333333333,4.473333333333332e-05
2016-01-05 17:00:00,2016-01-05 17:00:00,0.0007341333333333334,4.473333333333332e-05
2016-01-05 18:00:00,2016-01-05 18:00:00,0.0008444800000000002,4.473333333333332e-05
2016-01-05 19:00:00,2016-01-05 19:00:00,0.0019871466666666663,7.788666666666666e-05
2016-01-05 20:00:00,2016-01-05 20:00:00,0.0025753333333333336,7.788666666666666e-05
2016-01-05 21:00:00,2016-01-05 21:00:00,0.0015623466666666664,7.788666666666666e-05
2016-01-05 22:00:00,2016-01-05 22:00:00,0.0007181333333333334,9.591333333333335e-05
2016-01-05 23:00:00,2016-01-05 23:00:00,0.0007177866666666666,9.591333333333335e-05
2016-01-06 00:00:00,2016-01-06 00:00:00,0.00026869333333333334,9.591333333333335e-05
2016-01-06 01:00:00,2016-01-06 01:00:00,9.074666666666667e-05,4.4053333333333334e-05
2016-01-06 02:00:00,2016-01-06 02:00:00,0.00046255999999999994,4.4053333333333334e-05
2016-01-06 03:00:00,2016-01-06 03:00:00,3.4666666666666665e-07,4.4053333333333334e-05
2016-01-06 04:00:00,2016-01-06 04:00:00,6.537333333333333e-05,2.186666666666667e-05
2016-01-06 05:00:00,2016-01-06 05:00:00,0.0,2.186666666666667e-05
2016-01-06 06:00:00,2016-01-06 06:00:00,0.00031021333333333337,2.186666666666667e-05
2016-01-06 07:00:00,2016-01-06 07:00:00,0.0,2.984e-05
2016-01-06 08:00:00,2016-01-06 08:00:00,0.0,2.984e-05
2016-01-06 09:00:00,2016-01-06 09:00:00,0.0,2.984e-05
